Species,FliE,FliF,FliG,FliH,FliI,FliJ,FliK,FliL,FliM,FliN,FliO,FliP,FliQ,FliR
Sodalis-like endosymbiont of Proechinophthirus fluctus str. SPI-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Mikella endobia,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tremblaya princeps PMAR,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Moranella endobia PCVAL,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tremblaya princeps PCVAL,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Moranella endobia PCIT,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tremblaya princeps PCIT,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Hoaglandella endobia,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Ca. Doolittlea endobia, ",2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Gullanella endobia,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Serratia symbiotica Cinara cedri,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Candidatus Hamiltonella,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Buchnera bp,1,0,0,0,0,0,0,2,0,0,2,0,0,0
Buchnera sg,0,0,0,0,0,0,0,2,0,0,2,0,0,0
Buchnera aps,0,0,0,0,0,0,0,2,0,0,2,0,0,0
P-endosymbiont of Henestaris halophilus,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sodalis-like symbiont of Philaneus spumarius PSPU,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sulcia muelleri PSPU,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Candidatus Zinderia insecticola CARI,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Candidatus Carsonella ruddii CE,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Candidatus Carsonella ruddii HC,2,2,2,2,2,2,2,2,2,2,2,2,2,2
S-endosymbiont of Ctenarytaina eucalypti,2,2,2,2,2,2,2,2,2,2,2,2,2,2
S-endosymbiont of Heteropsylla cubana,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ca. Sodalis pierantonius str. SOPE,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ca. Sodalis pierantonius str. SOPE operon 2,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Ca. Sodalis melophagi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ca. Arsenophenous melophagi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ca. Bartonella melophagi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sodalis glossinidius str. “morsitans”,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodalis glossinidius str. “morsitans” operon 2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
Wigglesworthia brevipalpis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wigglesworthia glossinidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
