t_name	fc	pval	qval	logfc
GMOY010348-RA	5.20308669123331	4.39654544104329e-07	0.00029659095545278	2.3793677449795
GMOY008627-RA	13.206585987375	9.37556660007832e-06	0.00105412620473547	3.72318566096835
GMOY001730-RA	7.55347082692024	1.9737770819761e-05	0.00159781202340129	2.91713971651315
GMOY000550-RA	4.03729561306342	2.42977682543e-05	0.00181216169196797	2.01338922563108
GMOY005997-RA	4.23071856368524	9.84807735324722e-05	0.00424032361926243	2.08090271777174
GMOY011711-RA	6.44202762039205	0.00012653595143608	0.00479557038420109	2.68751484633346
GMOY005029-RA	5.03350691249406	0.00019118481591951	0.00626242008764017	2.33156389553308
GMOY008186-RA	5.96632644969312	0.000662993087581443	0.0127037827214703	2.57684291740973
GMOY013035-RA	0.135178413133045	0.000800024789954001	0.0143029166953084	-2.88706331125863
GMOY009806-RA	6.2671807219515	0.000858759004459753	0.0148097158412865	2.647816595632
GMOY006197-RA	4.66360159627262	0.00133065661205467	0.0190721165118714	2.2214445467648
GMOY002071-RA	4.29707143499713	0.00161021849238696	0.0217831563161279	2.10335376083526
GMOY010460-RA	9.43346432227312	0.00212192982580217	0.0256532949907911	3.23778767999175
GMOY001451-RA	5.67389715983526	0.00307368410466968	0.0328336200870081	2.50434000180363
GMOY003562-RA	0.201587395220577	0.00387223000273373	0.0375317005724738	-2.31052266151223
GMOY004739-RB	0.196295589249162	0.00427886901078312	0.0398242828413597	-2.34890033899541
GMOY003156-RA	5.10137553640455	0.00629728029321208	0.0517645648147953	2.3508863082562
GMOY009757-RA	10.6899241075919	0.00775692300266351	0.0590825786821623	3.41817970566425
GMOY008996-RA	5.71475318666559	0.0100220172312249	0.0705725764528632	2.51469119151714
GMOY006991-RB	9.07513073092922	0.013275714504243	0.0845773970521898	3.18191842586374
GMOY012706-RA	4.27838042137549	0.0153964459193533	0.0936801423864296	2.09706476853168
GMOY003053-RA	17.7470935794775	0.0166398215888945	0.098820494360192	4.14951087038899
GMOY004739-RA	4.71066330351162	0.0220403980320518	0.118316598242086	2.2359302185027
GMOY012268-RA	10.8690322749676	0.025041712073506	0.12910965152011	3.44215159051885
GMOY012794-RA	4.3066985431477	0.0320825412943857	0.151476496997555	2.10658234249625
GMOY012067-RA	23.9055449695784	0.0323196154385896	0.152183428861372	4.57927338975709
GMOY012153-RA	4.68240641534536	0.0428728110282679	0.178825216321122	2.2272501604125
GMOY009756-RA	6.00941683688398	0.0443015561467868	0.182378944934636	2.58722499636807
